_id,count
Thanet,1130
Greenwich,882
Maidstone,713
Newham,711
Swale,686
Chelmsford,680
Medway,672
Bexley,607
Southend-On-Sea,586
Tendring,542
Colchester,498
Tunbridge Wells,491
Folkestone and Hythe,480
Eastbourne,478
Hastings,464
Bromley,460
Ashford,427
Havering,397
Dartford,383
Braintree,382
Basildon,362
Gravesham,339
Tonbridge and Malling,325
Thurrock,313
Barking and Dagenham,301
Canterbury City,298
Brentwood,285
Castle Point,281
Harlow,274
Uttlesford,251
Lewes,250
Sevenoaks,223
Maldon,197
East Hertfordshire,189
Rochford,187
Redbridge,182
Epping Forest,180
East Suffolk,159
Waltham Forest,110
Babergh,97
Wealden,93
Rother,80
Lewisham,65
Tandridge,42
City of London Corporation,28
Ipswich,21
Tower Hamlets,9
North Hertfordshire,6
Mid Sussex,5
Broxbourne,1
North Norfolk,1
Kensington and Chelsea,1
Sunderland,1
Reading,1
Dorset,1
